,open,high,low,close,volume
20150317,22014,22430,22005,22417,7523977
20150316,21880,21958,21842,21923,5287908
20150313,21898,21949,21859,21906,4929092
20150312,21820,21932,21717,21859,8003102
20150311,21704,21889,21679,21859,13026404
20150310,21996,22014,21846,21846,6246427
20150309,22112,22117,21923,21941,5860529
20150306,22091,22177,22061,22168,7899411
20150305,22026,22082,21979,22052,6568973
20150304,22009,22052,22005,22026,9662975
20150303,22022,22078,22005,22044,12265090
20150302,21868,21975,21868,21962,8133033
20150227,21863,21902,21773,21829,8653195
20150226,21915,21932,21855,21902,13534935
20150225,21902,21953,21885,21911,7691027
20150224,21829,21872,21799,21833,6441802
20150223,21850,21945,21790,21807,8872717
20150217,21661,21782,21606,21747,5222757
20150216,21674,21734,21666,21700,9794933
20150213,21571,21692,21571,21674,5741162
20150212,21597,21601,21382,21515,5930137
20150211,21554,21614,21520,21580,6550716
20150210,21644,21747,21537,21550,7447673
20150209,21601,21692,21554,21653,5469442
20150206,21670,21687,21588,21679,8957826
20150205,21842,21850,21623,21644,8769354
20150204,21855,21949,21816,21868,5167937
20150203,21807,21842,21614,21717,3409714
20150202,21666,21812,21653,21726,5189896
20150130,21855,21902,21752,21777,10078681
20150129,21799,21885,21679,21786,8333861
20150128,21747,21906,21739,21889,9832662
20150127,21816,21880,21765,21868,7663417
20150126,21661,21730,21550,21717,10090686
20150123,21893,21898,21670,21717,13236407
20150122,21661,21713,21567,21593,11439464
20150121,21447,21533,21395,21533,10184264
20150120,21352,21494,21344,21485,12804952
20150119,21211,21369,21172,21296,15730683
20150116,21301,21305,21009,21082,11858807
20150115,21284,21412,21245,21378,6985826
20150114,21378,21485,21314,21314,6123451
20150113,21275,21412,21219,21408,5961833
20150112,21258,21395,21253,21314,10998649
20150109,21344,21442,21279,21365,13286315
20150108,20970,21193,20970,21129,15648479
20150107,20820,20897,20772,20863,22008959
20150106,20974,21013,20764,20820,16291545
20150105,21193,21245,20983,21198,9098520
20150102,21133,21258,21090,21236,4150251
20141230,21378,21447,21125,21189,10543911
20141229,21503,21567,21378,21395,6775419
20141226,21455,21563,21442,21481,4825913
20141224,21344,21481,21326,21455,6664317
20141223,21387,21425,21344,21399,7888482
20141222,21318,21425,21241,21412,13157234
20141219,21082,21301,21082,21241,10379657
20141218,21090,21185,20777,20927,9625641
20141217,21112,21120,20944,20944,16455569
20141216,21065,21168,20940,21013,10629239
20141215,20966,21172,20880,21172,12698944
20141212,21159,21180,21060,21163,16063846
20141211,21275,21296,21082,21138,29148351
20141210,21619,21631,21387,21387,6631732
20141209,21726,21743,21640,21704,3740150
20141208,21803,21850,21747,21773,5887416
20141205,21807,21846,21765,21807,10426604
20141204,21567,21825,21567,21795,5113141
20141203,21554,21614,21498,21567,2984608
20141202,21498,21524,21421,21524,7361321
20141201,21644,21644,21473,21533,7297177
20141128,21696,21773,21674,21717,7748013
20141127,21730,21795,21687,21722,7492559
20141126,21661,21661,21503,21597,5047365
20141125,21683,21687,21584,21644,7886988
20141124,21593,21722,21593,21644,5760730
20141121,21408,21498,21387,21442,4894002
20141120,21344,21455,21301,21369,4791968
20141119,21558,21567,21404,21455,7737777
20141118,21314,21537,21314,21485,6915586
20141117,21193,21357,21155,21314,9862198
20141114,21408,21408,21163,21262,4901969
20141113,21494,21576,21387,21447,7495316
20141112,21438,21610,21412,21511,3376341
20141111,21455,21507,21421,21442,6955929
